id;dominio_id;nome;descricao;status;substituido_por
ORG.NEG.VAR;ORG.NEG;Varejo;Atendimento e produtos para pessoa fisica de massa;ativo;
ORG.NEG.ALT;ORG.NEG;Alta Renda;Segmento de clientes pessoa fisica de alta renda;ativo;
ORG.NEG.PRV;ORG.NEG;Private Banking;Gestao de patrimonio de clientes de alta renda qualificada;ativo;
ORG.NEG.EMP;ORG.NEG;Empresas e Middle;Atendimento a pequenas e medias empresas;ativo;
ORG.NEG.ATA;ORG.NEG;Atacado e Corporate;Grandes empresas, corporate e investment banking;ativo;
ORG.NEG.AGR;ORG.NEG;Agronegocio;Produtos e credito para o setor agropecuario;ativo;
ORG.NEG.PRO;ORG.NEG;Produtos;Desenho, precificacao e gestao de portfolio de produtos;ativo;
ORG.NEG.CAN;ORG.NEG;Canais e Atendimento;Agencias, canais digitais, contact center e relacionamento;ativo;
ORG.NEG.CEX;ORG.NEG;Comercio Exterior;Operacoes de cambio comercial e financiamento ao comercio exterior;ativo;
ORG.CRE.CPF;ORG.CRE;Concessao PF;Analise e decisao de credito para pessoa fisica;ativo;
ORG.CRE.CPJ;ORG.CRE;Concessao PJ;Analise e decisao de credito para pessoa juridica;ativo;
ORG.CRE.MES;ORG.CRE;Mesa de Credito;Estruturacao e decisao de operacoes de maior porte;ativo;
ORG.CRE.POL;ORG.CRE;Politica de Credito;Definicao de politicas, alcadas e modelos de concessao;ativo;
ORG.CRE.REC;ORG.CRE;Recuperacao e Cobranca;Cobranca, renegociacao e recuperacao de credito;ativo;
ORG.CRE.IMO;ORG.CRE;Credito Imobiliario;Originacao e gestao de financiamento imobiliario;ativo;
ORG.TEC.COR;ORG.TEC;Core Banking;Sistemas centrais de contas, depositos e transacoes;ativo;
ORG.TEC.INV;ORG.TEC;Investimentos;Plataformas de investimentos e renda variavel;ativo;
ORG.TEC.MPG;ORG.TEC;Meios de Pagamento;Cartoes, adquirencia, Pix e transferencias;ativo;
ORG.TEC.FIN;ORG.TEC;Financeira (sistemas);Sistemas de credito, financiamento e cobranca;ativo;
ORG.TEC.SCO;ORG.TEC;Sistemas Corporativos;ERPs, RH, juridico e sistemas administrativos;ativo;
ORG.TEC.CAN;ORG.TEC;Canais (sistemas);Internet banking, app, ATM e contact center;ativo;
ORG.TEC.DAD;ORG.TEC;Governanca e Engenharia de Dados;Plataforma de dados, pipelines e governanca de dados;ativo;
ORG.TEC.PCF;ORG.TEC;Sistemas de Prevencao a Crimes Financeiros;Sistemas de PLD-FT, monitoramento e listas;ativo;
ORG.TEC.ARQ;ORG.TEC;Arquitetura;Arquitetura de solucoes, padroes e integracao;ativo;
ORG.TEC.IA;ORG.TEC;Inteligencia Artificial;Modelos de IA, ML e ciencia de dados aplicada;ativo;
ORG.TEC.SI;ORG.TEC;Seguranca da Informacao (operacao);Operacao de seguranca cibernetica, SOC e resposta a incidentes;ativo;
ORG.TEC.INF;ORG.TEC;Infraestrutura;Datacenter, redes, nuvem e computacao;ativo;
ORG.OPE.LIQ;ORG.OPE;Liquidacao e Custodia;Liquidacao de operacoes e custodia de ativos;ativo;
ORG.OPE.CAM;ORG.OPE;Cambio (operacao);Processamento operacional de operacoes de cambio;ativo;
ORG.OPE.PCR;ORG.OPE;Processamento de Credito;Formalizacao, desembolso e operacao de credito;ativo;
ORG.OPE.CAD;ORG.OPE;Cadastro e KYC;Cadastro de clientes, KYC e qualificacao;ativo;
ORG.OPE.BKO;ORG.OPE;Backoffice de Produtos;Retaguarda operacional de produtos e servicos;ativo;
ORG.OPE.PCN;ORG.OPE;Continuidade de Negocios;Plano de continuidade, BIA e gestao de crises;ativo;
ORG.TES.PRO;ORG.TES;Mesa Proprietaria;Posicoes proprietarias e gestao de book;ativo;
ORG.TES.FUN;ORG.TES;Funding e Captacao;Captacao, emissao e gestao de passivos;ativo;
ORG.TES.ALM;ORG.TES;Gestao de Liquidez (ALM);Gestao de ativos e passivos e liquidez;ativo;
ORG.TES.CLI;ORG.TES;Mesa de Clientes;Operacoes de tesouraria para clientes;ativo;
ORG.RIS.CRE;ORG.RIS;Risco de Credito;Mensuracao e controle independente de risco de credito;ativo;
