id;nome;linha_defesa;descricao;status;substituido_por
ORG.NEG;Negocios;1;Areas comerciais que originam e gerem relacionamento com clientes e produtos;ativo;
ORG.CRE;Credito;1;Concessao, politica, mesa e recuperacao de credito;ativo;
ORG.TEC;Tecnologia;1;Desenvolvimento, sustentacao e operacao de sistemas e infraestrutura;ativo;
ORG.OPE;Operacoes;1;Processamento operacional, liquidacao, cadastro e backoffice;ativo;
ORG.TES;Tesouraria;1;Gestao de caixa, funding, ALM e mesas proprietaria e de clientes;ativo;
ORG.RIS;Riscos;2;Gerenciamento independente de riscos financeiros e nao financeiros;ativo;
ORG.CIN;Controles Internos e Compliance;2;Conformidade, controles internos, conduta, PLD-FT e privacidade;ativo;
ORG.JUR;Juridico;2;Contencioso, consultivo, societario, regulatorio e trabalhista;ativo;
ORG.FIN;Financeiro e Controladoria;3;Controladoria, contabilidade, planejamento, RI e tributario;ativo;
ORG.AUD;Auditoria Interna;3;Avaliacao independente de controles, governanca e processos;ativo;
ORG.OUV;Ouvidoria e Atendimento;3;Ouvidoria, SAC e relacionamento com reguladores;ativo;
ORG.RH;Recursos Humanos;3;Gestao de pessoas, folha, recrutamento, treinamento e cultura;ativo;
ORG.FOR;Fornecedores e Infraestrutura Fisica;3;Gestao de terceiros, contratos, predial e seguranca fisica;ativo;
