indicador_id;competencia;valor
KRI-01;2025-07;1.2
KRI-01;2025-08;1.42
KRI-01;2025-09;1.63
KRI-01;2025-10;1.85
KRI-01;2025-11;2.06
KRI-01;2025-12;2.28
KRI-02;2025-07;1.54
KRI-02;2025-08;1.61
KRI-02;2025-09;1.52
KRI-02;2025-10;1.56
KRI-02;2025-11;1.36
KRI-02;2025-12;1.42
KRI-03;2025-07;1.2
KRI-03;2025-08;1.42
KRI-03;2025-09;1.63
KRI-03;2025-10;1.85
KRI-03;2025-11;2.06
KRI-03;2025-12;2.28
KRI-04;2025-07;3.0
KRI-04;2025-08;3.54
KRI-04;2025-09;4.08
KRI-04;2025-10;4.62
KRI-04;2025-11;5.16
KRI-04;2025-12;5.7
KRI-05;2025-07;104.48
KRI-05;2025-08;102.39
KRI-05;2025-09;100.3
KRI-05;2025-10;98.21
KRI-05;2025-11;96.12
KRI-05;2025-12;94.03
KRI-06;2025-07;12.0
KRI-06;2025-08;14.16
KRI-06;2025-09;16.32
KRI-06;2025-10;18.48
KRI-06;2025-11;20.64
KRI-06;2025-12;22.8
KRI-07;2025-07;0.57
KRI-07;2025-08;0.55
KRI-07;2025-09;0.57
KRI-07;2025-10;0.55
KRI-07;2025-11;0.57
KRI-07;2025-12;0.62
KRI-08;2025-07;116.76
KRI-08;2025-08;116.88
KRI-08;2025-09;113.03
KRI-08;2025-10;114.41
KRI-08;2025-11;130.48
KRI-08;2025-12;123.55
KRI-09;2025-07;42.92
KRI-09;2025-08;39.24
KRI-09;2025-09;43.92
KRI-09;2025-10;39.17
KRI-09;2025-11;40.99
KRI-09;2025-12;46.11
KRI-10;2025-07;116.15
KRI-10;2025-08;115.76
KRI-10;2025-09;116.35
KRI-10;2025-10;117.08
KRI-10;2025-11;116.78
KRI-10;2025-12;114.25
KRI-11;2025-07;90.0
KRI-11;2025-08;106.2
KRI-11;2025-09;122.4
KRI-11;2025-10;138.6
KRI-11;2025-11;154.8
KRI-11;2025-12;171.0
KRI-12;2025-07;1.63
KRI-12;2025-08;1.73
KRI-12;2025-09;1.72
KRI-12;2025-10;1.7
KRI-12;2025-11;1.96
KRI-12;2025-12;1.94
KRI-13;2025-07;73.5
KRI-13;2025-08;72.03
KRI-13;2025-09;70.56
KRI-13;2025-10;69.09
KRI-13;2025-11;67.62
KRI-13;2025-12;66.15
KRI-14;2025-07;99.01
KRI-14;2025-08;100.37
KRI-14;2025-09;99.33
KRI-14;2025-10;101.4
KRI-14;2025-11;99.59
KRI-14;2025-12;98.81
KRI-15;2025-07;78.75
KRI-15;2025-08;77.17
KRI-15;2025-09;75.6
KRI-15;2025-10;74.02
KRI-15;2025-11;72.45
KRI-15;2025-12;70.88
KRI-16;2025-07;5.7
KRI-16;2025-08;6.07
KRI-16;2025-09;5.72
KRI-16;2025-10;6.1
KRI-16;2025-11;6.48
KRI-16;2025-12;5.88
