id;nome;nivel;parent_id;disciplina_id;descricao;categoria_basileia
RL-01;Inadimplencia e perda de credito;0;;DISC_CREDITO;Risco local mapeado para R0.U.1;
RL-02;Risco de mercado da carteira;0;;DISC_MERCADO;Risco local mapeado para R0.U.2;
RL-03;Descasamento e risco de liquidez;0;;DISC_LIQUIDEZ;Risco local mapeado para R0.U.3;
RL-04;Risco de juros da carteira banking;0;;DISC_JUROS;Risco local mapeado para R0.U.4;
RL-05;Exposicao cambial;0;;DISC_MERCADO;Risco local mapeado para R0.U.5;
RL-06;Falha operacional de processamento;0;;DISC_OPERACIONAL;Risco local mapeado para R0.U.6;
RL-07;Risco de Invasao Digital;0;;DISC_CYBER;Risco local mapeado para R0.U.7;
RL-08;Erro de modelo de credito;0;;DISC_MODELO;Risco local mapeado para R0.U.8;
RL-09;Indisponibilidade de sistemas;0;;DISC_BIA;Risco local mapeado para R0.U.9;
RL-10;Falha de fornecedor critico;0;;DISC_FORNECEDORES;Risco local mapeado para R0.U.10;
RL-11;Nao conformidade regulatoria;0;;DISC_CONFORMIDADE;Risco local mapeado para R0.U.11;
RL-12;Venda inadequada ao cliente;0;;DISC_CONDUTA;Risco local mapeado para R0.U.12;
RL-13;Lavagem de dinheiro;0;;DISC_LD;Risco local mapeado para R0.U.13;
RL-14;Vazamento de dados pessoais;0;;DISC_LGPD;Risco local mapeado para R0.U.14;
RL-15;Dano reputacional;0;;DISC_REPUTACIONAL;Risco local mapeado para R0.U.15;
RL-16;Fraude externa em canais;0;;DISC_FRAUDE;Risco local mapeado para R0.U.6;
RL-17;Fraude interna;0;;DISC_FRAUDE;Risco local mapeado para R0.U.6;
