id;processo_id;risco_id;materialidade_inerente;materialidade_declarada_por;area_afetada;area_gestora;eh_gestora_e_afetada;notas
1;P.CRE.PF;RL-01;5;CRO;AL-CPF;AL-RCRED;0;
2;P.CRE.PJ;RL-01;5;CRO;AL-CPJ;AL-RCRED;0;
3;P.CRE.CON;RL-01;4;CRO;AL-CPF;AL-RCRED;0;
4;P.CRE.CON;RL-12;4;CRO;AL-CPF;AL-COMPL;0;
5;P.CRE.IMO;RL-01;4;CRO;AL-CPF;AL-RCRED;0;
6;P.CRE.PF;RL-08;3;CRO;AL-RCRED;AL-RCRED;1;
7;P.CRE.COB;RL-01;3;CRO;AL-COB;AL-RCRED;0;
8;P.CRE.COB;RL-12;3;CRO;AL-COB;AL-COMPL;0;
9;P.TES.ALM;RL-03;5;CRO;AL-TES;AL-TES;1;
10;P.TES.ALM;RL-04;3;CRO;AL-TES;AL-TES;1;
11;P.TES.MES;RL-02;4;CRO;AL-TES;AL-TES;1;
12;P.OPE.CAM;RL-05;3;CRO;AL-CAM;AL-TES;0;
13;P.OPE.CAD;RL-13;5;CRO;AL-CAD;AL-DPLD;0;
14;P.OPE.CAD;RL-14;4;CRO;AL-CAD;AL-LGPD;0;
15;P.OPE.CAD;RL-06;3;CRO;AL-CAD;AL-RISCO;0;
16;P.OPE.LIQ;RL-06;4;CRO;AL-CORE;AL-RISCO;0;
17;P.OPE.LIQ;RL-09;4;CRO;AL-CORE;AL-INFRA;0;
18;P.NEG.VEN;RL-12;4;CRO;AL-VAR;AL-COMPL;0;
19;P.NEG.VEN;RL-15;3;CRO;AL-VAR;AL-OUVID;0;
20;P.NEG.ALT;RL-12;3;CRO;AL-DIA;AL-COMPL;0;
21;P.TEC.SI;RL-07;5;CRO;AL-CYBER;AL-CYBER;1;
22;P.TEC.CAN;RL-07;4;CRO;AL-CORE;AL-CYBER;0;
23;P.TEC.CAN;RL-16;4;CRO;AL-CORE;AL-RISCO;0;
24;P.TEC.COR;RL-09;5;CRO;AL-CORE;AL-INFRA;0;
25;P.TEC.INF;RL-09;4;CRO;AL-INFRA;AL-INFRA;1;
26;P.TEC.INF;RL-10;3;CRO;AL-INFRA;AL-INFRA;1;
27;P.TEC.CAN;RL-14;4;CRO;AL-CORE;AL-LGPD;0;
28;P.CIN.PLD;RL-13;5;CRO;AL-DPLD;AL-DPLD;1;
29;P.CIN.CON;RL-11;4;CRO;AL-COMPL;AL-COMPL;1;
30;P.CIN.LGP;RL-14;4;CRO;AL-LGPD;AL-LGPD;1;
31;P.CIN.CTI;RL-11;3;CRO;AL-DICOI;AL-DICOI;1;
32;P.OPE.LIQ;RL-17;3;CRO;AL-CORE;AL-AUDIT;0;
33;P.CRE.PF;RL-16;3;CRO;AL-CPF;AL-RISCO;0;
34;P.TES.MES;RL-08;3;CRO;AL-TES;AL-RISCO;0;
