id;fonte;tipo;data;risco_id;disciplina_id;quantidade;severidade;descricao;processo_id;status;valor_metrica;valor_anterior;periodo
EXT-001;bacen;procedente;2025-12-31;RL-12;DISC_CONDUTA;18;;Procedentes sobre cobranca indevida;;;;;2025-Q4
EXT-002;bacen;procedente;2025-12-31;RL-01;DISC_CREDITO;9;;Procedentes sobre oferta de credito;;;;;2025-Q4
EXT-003;bacen;ranking_reclamacoes;2025-12-31;RL-15;DISC_REPUTACIONAL;;3;Posicao no ranking de reclamacoes;;;;;2025-Q4
EXT-004;cvm;processo_em_curso;2025-11-20;RL-12;DISC_CONDUTA;1;;PAS sobre suitability;;em_curso;;;2025-Q4
EXT-005;procon;procedente;2025-12-31;RL-12;DISC_CONDUTA;12;;Reclamacoes Procon sobre cobranca;;;;;2025-Q4
EXT-006;midia;noticia_adversa;2025-10-15;RL-14;DISC_LGPD;1;4;Reportagem sobre vazamento de dados;;;;;2025-Q4
EXT-007;midia;noticia_adversa;2025-11-05;RL-16;DISC_FRAUDE;1;3;Materia sobre golpe em canal digital;;;;;2025-Q4
EXT-008;reclame_aqui;nota_periodo;2025-12-31;RL-15;DISC_REPUTACIONAL;1;;Nota geral do periodo;;;6.4;7.1;2025-Q4
EXT-009;anbima;carta_recomendacao;2025-09-30;RL-12;DISC_CONDUTA;2;;Carta sobre distribuicao;;;;;2025-Q3
EXT-010;bacen;procedente;2025-12-31;RL-06;DISC_OPERACIONAL;6;;Procedentes sobre conta e cadastro;;;;;2025-Q4
EXT-011;ouvidoria;reclamacao_procedente;2025-12-31;RL-12;DISC_CONDUTA;14;;Reclamacoes procedentes de Ouvidoria sobre venda;P.NEG.VEN;procedente;;;2025-Q4
EXT-012;ouvidoria;reclamacao_procedente;2025-12-31;RL-01;DISC_CREDITO;7;;Reclamacoes procedentes sobre cobranca de credito;P.CRE.COB;procedente;;;2025-Q4
EXT-013;sac;reclamacao;2025-12-31;RL-06;DISC_OPERACIONAL;120;;Reclamacoes de SAC sobre falhas operacionais;;;;;2025-Q4
EXT-014;sac;solicitacao_nao_resolvida;2025-12-31;RL-09;DISC_BIA;35;;Solicitacoes nao resolvidas por indisponibilidade;P.TEC.COR;;;;2025-Q4
